,sentence,#aspect terms,aspect_terms,at_polarity
658,"कुल मिलाकर good restaurant के साथ, क्लासिक अपस्केल Italian decor है।",1,['Italian decor'],['positive']
659,Food से प्रभावित नहीं।,1,['Food'],['negative']
660,पूरा dining experience अतिउत्तम था!,1,['dining experience'],['positive']
661,Wine selection (glass और bottle के साथ) शानदार है और मैं हमेशा उसके friends को reservation रखने को कहता हूँ अगर वो town में रहते हैं।,2,"['Wine selection', 'reservation']","['positive', 'neutral']"
662,Service highly refined है: हमारे seating में हमारे reservation से 35 मिनट की देरी हुई और maitre ने माफी मांगी और regularly हमें progress से अवगत कराया।,3,"['Service', 'maitre', 'reservation']","['positive', 'positive', 'negative']"
663,"Panang duck का order करें, यह शानदार है।",1,['Panang duck'],['positive']
664,"Food आम तौर पर very good है, हालांकि कभी-कभी मैं side orders में raw vegatables की freshness के बारे में सोचता था।",2,"['Food', 'raw vegatables']","['conflict', 'negative']"
665,"दो individuals के भद्दी service के अलावा, यह great है।",1,['service'],['negative']
666,What more can you ask for?,0,[],[]
667,Wondering कि हमारे पास best deal था जिसने हमने noticed किया कि इस विशेष स्थापना की प्रतीक्षा करने के लिए एक लाइन बनाई थी।,0,[],[]
668,उनके पास शानदार prices में authentic Indian हैं।,2,"['Indian', 'prices']","['positive', 'positive']"
669,आपको royality की तरह treat किया जाता है।,0,[],[]
670,"यह अच्छा और quiet है, small लेकिन 6 (और अधिक). के लिए enough है।",0,[],[]
671,Ambiance- आरामदायक और स्टाइलिश।,1,['Ambiance'],['positive']
672,मैंने Jimmy's Bronx Cafe में last month की तुलना में कभी इतना ज्यादा unwelcome महसूस नहीं किया है।,0,[],[]
673,"सौभाग्यवश हमने BBQ Salmon, Sea Bass और Crispy Duck के लिए जगह बचा लिया।",3,"['BBQ Salmon', 'Sea Bass', 'Crispy Duck']","['positive', 'positive', 'positive']"
674,"हां, वे fancy ingredients का उपयोग करते हैं, लेकिन जबकि fancy ingredients अच्छे pizza के लिए नहीं बनते हैं जब तक कि कोई यह नहीं जान ले कि crust को कैसे सही किया जाए।",4,"['ingredients', 'ingredients', 'pizza', 'crust']","['positive', 'positive', 'negative', 'neutral']"
675,"बाहर से अंदर की ओर देखते हुए, कोई इस hole से wall में प्रवेश करने से hesitate करेगा (really, वह यही है)।",0,[],[]
676,और हां Dal Bukhara इतना good है और सभी kababs भी good हैं।,2,"['kababs', 'Dal Bukhara']","['positive', 'positive']"
677,मैं यहां फिर से eating के लिए उत्सुक हूं।,1,['eating'],['positive']
678,मैं यहां एक child की तरह आ रहा हूं और always taste के लिए वापस आता हूं।,1,['taste'],['positive']
679,Tuk Tuk उन comfortable neighborhood joints में से एक है जहां आपको पता है कि आप हमेशा fair price पर good meal लेंगे।,2,"['meal', 'price']","['positive', 'positive']"
680,"एक glass of Leaping Lizard, एक glass of prosecco, और mussels में सब खुश थे।",3,"['glass of prosecco', 'mussels', 'glass of Leaping Lizard']","['positive', 'positive', 'positive']"
681,"Food average था और creme brulee awful था - sugar charred था, caramelized नहीं किया गया था और kerosene की गंध थी।",3,"['Food', 'creme brulee', 'sugar']","['neutral', 'negative', 'negative']"
682,Food हमेशा ताज़ा और तुरंत served किया गया था।,2,"['Food', 'served']","['positive', 'positive']"
683,मैं जानती हूँ क्योंकि मैं nearby में रहती हूँ।,0,[],[]
684,यहां का pizza delicious है।,1,['pizza'],['positive']
685,मेरी पूरी family horrified थी।,0,[],[]
686,Monthly basis पर मैं और मेरे friends लड़कियों के साथ night out करते हैं।,0,[],[]
687,"Pizza and garlic knots भी बहुत अच्छा हैं, मैं इसे काफी बार order करता हूं और delivery हमेशा super quick होती है!",3,"['Pizza', 'delivery', 'garlic knots']","['positive', 'positive', 'positive']"
688,"पास के great chinese food के लिए, आपके पास Wu Liang Ye और Grand Sichuan सिर्फ एक block दूर है।",1,['chinese food'],['positive']
689,लेकिन कौन कहता है कि Murray's भी service में कुछ हैं।,1,['service'],['neutral']
690,"यह place वाकई में trendy है लेकिन वे एक restaurant के सबसे important part, food के बारे में भूल गए हैं।",1,['food'],['negative']
691,मैं Red Eye में पहले कभी भी इतना disappoint नहीं हुआ।,0,[],[]
692,Chef को सलाम।,1,['Chef'],['positive']
693,यह एक back room में किया जाना चाहिए था - customers से दूर।,0,[],[]
694,"Service को improve किया जा सकता था लेकिन कुल मिलाकर यह एक place है जहां restaurant experience में small things (Heavy, black, antique-seeming के लिए एक teapot) के importance को समझा जाता है।",2,"['Service', 'teapot']","['negative', 'positive']"
695,खुशी है कि आपके पास paying customers को  बाहर throw करने की luxury है।,0,[],[]
696,"Pizza स्वादिष्ट है- वे सस्ते, जमे, कटे हुए cheese के बजाय fresh mozzarella का use करते हैं जो most pizzaria's में common है। ",3,"['Pizza', 'fresh mozzarella', 'cheese']","['positive', 'positive', 'negative']"
697,"यह relax करने के लिए एक उत्तम place है और food, New York city के सबसे अच्छे places में से एक है।",2,"['place', 'food']","['positive', 'positive']"
698,"Service friendly है, और इसमें कभी भी अंदर आने में और getting a table में कोई problem नहीं होती।",2,"['Service', 'getting a table']","['positive', 'positive']"
699,Atmosphere crowded था लेकिन यह एक महान bistro-type vibe था।,2,"['Atmosphere', 'bistro-type vibe']","['conflict', 'positive']"
700,Check it out,0,[],[]
701,"सबसे पहले, waitress पूरी तरह से unattentive थी 2 times हमने उसे देखा (जो कि 6 tables वाले restaurant में odd है) और हमने गलत order पाया।",2,"['waitress', 'tables']","['negative', 'neutral']"
702,Don't go.,0,[],[]
703,Food बहुत ज्यादा oily था।,1,['Food'],['negative']
704,But they do.,0,[],[]
705,"हालांकि क्या अच्छा है, कि prices बहुत affordable है और साथ ही, और food really good है।",2,"['prices', 'food']","['positive', 'positive']"
706,Fish fresh है लेकिन variety of fish ordinary से अधिक कुछ भी नहीं है।,2,"['Fish', 'variety of fish']","['positive', 'negative']"
707,"Look मुझे नहीं पता कि जिन people ने reviews लिखी है, वे कभी decent place पर गए हैं (PLEASE SOMEOTHER PLACES को TRY करें)।",0,[],[]
708,Suan ने इस loyalty को चुनौती दी है।,0,[],[]
709,"हमारा पसंदीदा meal एक pesto pizza है, house salad, और एक अच्छी bottle of wine है।",4,"['pesto pizza', 'house salad', 'bottle of wine', 'meal']","['positive', 'positive', 'positive', 'positive']"
710,"Ambiance और music funky, जिसको मैं enjoy करता हूं।",2,"['Ambiance', 'music']","['positive', 'positive']"
711,"City में food, drinks और service स्पष्ट रूप से सर्वश्रेष्ठ में से हैं।",3,"['food', 'drinks', 'service']","['positive', 'positive', 'positive']"
712,मैं वहाँ late afternoon में अपनी date के साथ bite size food और refleshment के लिए गया।,2,"['food', 'refleshment']","['neutral', 'neutral']"
713,"यह वास्तव में बहुत अच्छा deal, consider करते हुए हमें four dollars का पूरा off मिला है।",0,[],[]
714,"मैं area और folks समझता हूँ आपको यहाँ romantic, alluring ambiance और five star service जो एक sommlier के featuring और captain के back waiters की एक जटिल maze के लिए आने की ज़रूरत नहीं है - आप authentic foods, tastes, experiance के लिए आते हैं।",7,"['ambiance', 'service', 'foods', 'tastes', 'sommlier', 'captain', 'back waiters']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
715,मेरे दोस्त और मैं NY में छुट्टी पर थे और यह Chance एक दोस्त द्वारा referred किया गया था।,0,[],[]
716,"Last time जब मैं यहां गया था, तो waitress हमारा order लेने के बाद वापस नहीं आई थी।",1,['waitress'],['negative']
717,Try the tandoori salmon!,1,['tandoori salmon'],['positive']
718,"Eating in, atmosphere इसे बचाता है यह बहुत हताशापूर्ण experiance है।",1,['atmosphere'],['positive']
719,हम mid-town में इस oasis के लिए कई बार लौटेंगे।,0,[],[]
720,मैं atmorphere @ peep पसंद करता हूँ!,1,[],['positive']
721,Enjoy!,0,[],[]
722,We weren't!,0,[],[]
723,यह मेरे favorite restaurants में से एक है और यह miss नहीं हो सकता है।,0,[],[]
724,(La Rosa एक झूलते दरवाजे द्वारा Mexican restaurant Pacifico से जुड़ा है)।,0,[],[]
725,Other night हमारे पास $ 30 में three course meal था और सब कुछ delicious था - अगर मैं plate को चाट कर clean कर पाता तो मैं करता।,1,['three course meal'],['positive']
726,कृपया aware रहे कि यह केवल CASH या AMEX है!,0,[],[]
727,मुझे इस place से high expectations थी और कुछ month पहले ही इस occasion के लिए advance में reservation करा लिए थे।,1,['reservation'],['neutral']
728,उन्हें warm serve किया गया था और एक soft fluffy interior दिया गया था।,0,[],[]
729,हमारे table पर जो आया recognition और stringy के beyond जला दिया गया।,1,['table'],['neutral']
730,मेरे पास Pad Thai था और noodles चिपचिपा था।,2,"['Pad Thai', 'noodles']","['negative', 'negative']"
731,"Frankly, जब तुम compare करते हो कि lunch में यहाँ क्या खा सकते हो, बनाम McDs से या city में बहुत से other sandwich shops हैं, तो कोई comparison नहीं है।",1,['lunch'],['positive']
732,Hostess offensive होने के कारण rude हो गयी है।,1,['Hostess'],['negative']
733,"यदि आप Haru's के great food के लिए तरस रहे हैं, लेकिन अपने Sake Bar से street की ओर head किए हुए, वास्तव में House Roll के लिए, wait building नहीं कर सकते हैं!",2,"['food', 'wait building']","['positive', 'negative']"
734,Food कमाल का है।,1,['Food'],['positive']
735,Succulent steaks थोड़ा पका हुआ आपके desired 'doneness' salads और sides के साथ जो leafy road को kill करने जैसा नहीं दिखता है।,3,"['steaks', 'salads', 'sides']","['positive', 'positive', 'positive']"
736,"Lunch pickels and slaw के साथ, बिना किसी extra charge के आया।",2,"['Lunch', 'pickels and slaw']","['positive', 'neutral']"
737,उचित prices पर सामान्य wine.,2,"['wine', 'prices']","['positive', 'positive']"
738,सभी सुविधापूर्वक door तक delivered कर दिया गया।,1,['delivered'],['positive']
739,हालांकि wine by the glass अच्छी थी।,1,['wine by the glass'],['positive']
740,अच्छी Family के लिए पारंपरिक restaurant.,0,[],[]
741,बल्कि उस price के लिए sky या water club में terrace तक की कोशिश की होंगी।,1,['price'],['negative']
742,"मैंने भी Change Mojito order किया, जो इस world से out था।",1,['Change Mojito'],['positive']
743,Okay service.,1,['service'],['neutral']
744,केवल service एक चीज जो food से ज्यादा wonderful (जो exceptional) है।,2,"['food', 'service']","['positive', 'positive']"
745,मैं इस restaurant में फिर कभी visit नहीं करूंगा।,0,[],[]
746,Waitress ने glasses of wine को suggest किया जो food के साथ बहुत अच्छा चला।,3,"['Waitress', 'food', 'glasses of wine']","['positive', 'neutral', 'positive']"
747,"या sister, मेरे case में!",0,[],[]
748,मैंने कई अलग-अलग Indian restaurants में खाया है।,0,[],[]
749,"जब आप अपना order देते हैं तो वे counter पर सभी business कर सकते हैं, लेकिन उनका food कहता है कि I love you।",2,"['food', 'counter']","['positive', 'negative']"
750,"हम sushi के बारे में बहुत particular हैं और दोनों हर choice के साथ खुश थे जिसमें ceviche mix (special), crab dumplings, assorted sashimi, sushi और rolls, दो type के sake, और banana tempura शामिल है।",8,"['sushi', 'ceviche mix (special)', 'crab dumplings', 'assorted sashimi', 'sushi', 'rolls', 'sake', 'banana tempura']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
751,उनके ताज़ा garlic या eggplant के साथ plain pizza को आज़माये।,3,"['plain pizza', 'garlic', 'eggplant']","['positive', 'positive', 'positive']"
752,Don't go there!,0,[],[]
753,"ठीक है, इसलिए servers थोड़ा clueless होकर चारों ओर घूमते हैं, लेकिन उन्हें मिलने वाली crowd के लिए enough से अधिक servers हैं - यह ठीक है, आपको बस उनका attention पाने के लिए एक small effort करने हैं।",2,"['servers', 'servers']","['negative', 'conflict']"
754,Good luck getting a table.,1,['getting a table'],['negative']
755,"हमने इसे बिना किसी recommendation के जो वहां गया है randomly उठाया, इसलिए हम sure नहीं थे कि क्या expect करें।",0,[],[]
756,मेरी तरह अपनी nose मत देखो ...,0,[],[]
757,Planet Thai is great!,0,[],[]
758,यह service खराब है,1,['service'],['negative']
759,Just don't do it.,0,[],[]
760,Just ignore the trendy wannabes.,0,[],[]
761,"Takeout menu अधिक italian dishes को offer करने वाले expanded menu पर नज़र रखने के लिए कहता है, मैं इंतजार नहीं कर सकता!",3,"['Takeout menu', 'menu', 'italian dishes']","['positive', 'positive', 'positive']"
762,"Trust me, यह अच्छा होगा, और यह सभी कुछ ही समय में devour कर जाएँगे।",0,[],[]
763,मेरी girlfiends और मैं last night फिर से O.G. में खाया।,0,[],[]
764,"I wish उनका एक मेरे office के पास होता, तो मैं रोज जाता।",0,[],[]
765,Finally!,0,[],[]
766,Amma के लिए money का सबसे कम value है मैंने पिछले 2 वर्षों में NYC में यह experience किया।,0,[],[]
767,"Thai food की बात होने पर मैं सबसे experienced person नहीं हूं, लेकिन मेरा friend जो मुझे वहां ले गया, वह है।",1,['Thai food'],['neutral']
768,मुझे लगता है कि यह एक pretty good spot है यदि यह overpriced और overrated न हो।,0,[],[]
769,फिर चाहे आपके आगे two people हों या two hundred people hostess आपका name लेंगे और आपको five minutes में बताते हैं।,1,['hostess'],['positive']
770,हालांकि pizza अच्छा है।,1,['pizza'],['positive']
771,Bottles of wine सस्ती और अच्छी है।,1,['Bottles of wine'],['positive']
772,आप बिल्कुल भी disapointed नहीं होंगे।,0,[],[]
773,Walk-ins are risky too.,0,[],[]
774,"100 से अधिक different beers guest को offer की जाती है, ताकि मेरे husband बहुत खुश हो सके और food delicious बन सके, अगर मुझे dish recommend करनी हो, तो यह pumkin tortelini होनी चाहिए।",4,"['beers', 'food', 'pumkin tortelini', 'dish']","['positive', 'positive', 'positive', 'positive']"
775,"जब तक हम न कहें, वो हमें dinner special न दें।",1,['dinner special'],['negative']
776,आपके पास crabmeat lasagna और dessert के लिए chocolate bread pudding होना चाहिए जो इस world में अलग है।,3,"['crabmeat lasagna', 'chocolate bread pudding', 'dessert']","['positive', 'positive', 'positive']"
777,"सलाह के शब्द, pasta dishes के लिए room save करें और आप tiramisu खाने तक कभी न छोड़े।",2,"['pasta dishes', 'tiramisu']","['positive', 'positive']"
778,बहुत अच्छी service एवं बहुत अच्छी prices.,2,"['service', 'prices']","['positive', 'positive']"
779,मैं recently में lunch के लिए कुछ co-workers के साथ इस restaurants में गया और एक amazing time बिताया।,1,['lunch'],['neutral']
780,"Service impeccable और unobtrusive थी - staff जानते हैं कि उन्हें क्या करना है - अपने menu को जानने के लिए, अपना meal present करें और अपने needs को attend करें।",4,"['Service', 'staff', 'menu', 'meal']","['positive', 'positive', 'neutral', 'neutral']"
781,Ess-A-Bagel (या तो Sty-town या midtown) NY में सबसे अच्छे बैगेल में एक है।,1,['Bagel'],['positive']
782,हमारा food भी great था!,1,['food'],['positive']
783,देर से open (जब तक मैं वहाँ गया था और मैं एक night person हूँ) हुआ।,0,[],[]
784,"हालांकि, सबसे अधिक annoying thing यह है कि servers revenue को trained करने के लिए होते हैं।",1,['servers'],['negative']
785,"अपना food प्राप्त करने के लिए जाएँ, एक bench ढूंढें, और plate of dumplings के साथ kick back करें।",2,"['food', 'plate of dumplings']","['neutral', 'positive']"
786,"कृपया Filet Mignon को आज़माएं, यह अभी तक का सबसे tender piece है।",1,['Filet Mignon'],['positive']
787,"हमारे पास सब कुछ pretty good था, लेकिन हम केवल एक बार वहां गए हैं।",0,[],[]
788,"हम अभी भी bar में बैठे थे, जब हमने sangria पिया था, लेकिन bar से दूर होने पर जब हम turned back हुए, तो $ 2 चला गया था, हमारे बगल के लोगों ने कहा कि bartender ने इसे लिया था।",4,"['sangria', 'bar', 'bar', 'bartender']","['neutral', 'neutral', 'neutral', 'negative']"
789,उनके बारे में कुछ उन्हें holiday party के साथ busy किया जा रहा है।,0,[],[]
790,Sake Menu को overlooked नहीं किया जाना चाहिए!,1,['Sake Menu'],['positive']
791,मैं अत्यधिक recommend करूंगा।,0,[],[]
792,यह place महान है।,0,[],[]
793,"Theater district बहुत से poor experiences के साथ, एक truely excellent find है!",0,[],[]
794,यह Brooklyn में सबसे अधिक overrated restaurants में से एक है।,0,[],[]
795,"पिछली night 2 year anniversery के लिए वहाँ गया, और सभी उतने impressed नहीं थे।",0,[],[]
796,बल्कि यह pathetic है कि हमें बैठने के लिए an hour से अधिक time लगा।,0,[],[]
797,"हमें तुरंत बैठाया गया क्योंकि हमारे पास reservations था, हालांकि after that service slow थी।",2,"['reservations', 'service']","['positive', 'negative']"
798,पहले मैं slightly skeptical में था क्योंकि यह NYC के middle में एक sushi restaurant था।,0,[],[]
799,"यह वास्तव में service, अच्छा है और waiters friendly हैं।",2,"['service', 'waiters']","['positive', 'positive']"
800,Suan एक recommendation थी कि मुझे खुशी है कि we heeded.,0,[],[]
801,"Food बहुत अच्छा था, लेकिन थोड़ा flavourless और कुछ portions dessert को मिलाकर छोटा हो गया।",3,"['Food', 'dessert', 'portions']","['conflict', 'negative', 'negative']"
802,हम month में at least एक बार आते हैं।,0,[],[]
803,"यह small street से दूर set किया गया है यह on है, और यहाँ कोई traffic noise नहीं है।",1,['traffic noise'],['positive']
804,"यह place family के लिए भी popular है, इसलिए यदि आप छोटे बच्चों के wild animals की तरह loose running से bothered हो, तो इसे avoide करने के लिए late night तक आओ।",0,[],[]
805,मैं इसे short रखूँगा।,0,[],[]
806,मुझे ऐसा लगा कि मैं Paris में खा रहा हूँ।,0,[],[]
807,मेरे life के अधिकांश समय Shanghai में रहा और वहां का प्रमुख Green Bo restaurant का food मेरे लिए comparable था।,1,['food'],['positive']
808,"मैं Cafe St. Bart's को उनके food, ambience और कमाल के service के लिए अत्यधिक recommend करता हूं।",3,"['food', 'ambience', 'service']","['positive', 'positive', 'positive']"
809,जबकि यह एक special trip योग्य नहीं है।,0,[],[]
810,Nice value.,0,[],[]
811,Wagner Park में Gigino's बहुत आनंदमय है।,0,[],[]
812,और यह quick था जो very important है।,0,[],[]
813,यह एक nice restaurant है यदि आप business associates के साथ एक intimate dinner meeting को host करने के लिए एक अच्छे place की तलाश कर रहे हैं।,1,['dinner meeting'],['neutral']
814,सभी NYU students इस place को पसंद करते हैं इसलिए यह एक fun young atmosphere बनाता है।,1,['atmosphere'],['positive']
815,यहाँ का एक food (जो Cantonese है) नाम से great service देता है।,2,"['food', 'Cantonese']","['positive', 'positive']"
816,"लेकिन, cooking के बारे में कुछ भी stands out नहीं करता है।",1,['cooking'],['neutral']
817,Joya decent food के साथ एक cool spot और एक colorful हुआ करता था - अगर नहीं था तो relaxed atmosphere था।,2,"['food', 'atmosphere']","['positive', 'positive']"
818,"अगर यह problem है, तो McDonald's जाएं और अपने insides को destroy करें।",0,[],[]
819,Prix ​​Fixe menu प्रत्येक penny के लिए worth है और आपको enough से अधिक (दोनों quantity और quality में) मिलता है।,3,"['Prix Fixe menu', 'quantity', 'quality']","['positive', 'positive', 'positive']"
820,मैं यहाँ 3 times lunch के लिए आया हूँ और यह city में मेरा एक favorite है।,1,['lunch'],['neutral']
821,हमेशा व्यस्त लेकिन fast moving.,0,[],[]
822,बहुत bad food एक ही heritage का नहीं था।,1,['food'],['negative']
823,"Chilean Sea Bass के offering को छोड़कर, menu में सब अच्छा लग रहा था, लेकिन server उन specials को offer up नहीं करते हैं जो बाहर board पर लिखे गए थे।",4,"['menu', 'Chilean Sea Bass', 'server', 'specials']","['positive', 'negative', 'negative', 'neutral']"
824,Sexy.,0,[],[]
825,"Food वास्तव में अच्छा था, मेरे पास onion soup था और यह अब तक का best था।",2,"['Food', 'onion soup']","['positive', 'positive']"
826,मैं picky नहीं हूँ लेकिन यह actually gross था।,0,[],[]
827,"कुल मिलाकर, एक solid restaurant और कम से कम $ 40pp (wine सहित), एक solid deal भी।",1,['wine'],['neutral']
828,"Since यह literally wall में एक complete hole है, इसलिए यह पहली बार में bit intimidating करने वाला है, लेकिन जैसे ही staff आपका friendly welcome करता है, आप soon get over हो जाते हैं- जो help चाहिए वो पाने या पूछने के लिए hesitate न करें।",1,['staff'],['positive']
829,"Dinner के लिए review के आधार पर, यह एक ऐसा place है जिसके लिए मैं फिर से reconsider करूंगा, लेकिन definitely फिर से Dim Sum के लिए नहीं।",2,"['Dim Sum', 'Dinner']","['negative', 'positive']"
830,"यहां तक ​​कि john's और joe's के corner के आसपास, यह place अपने लिए एक name बनाएगी।",0,[],[]
831,मेरी girlfriend ने मुझे other night में quick bite करने के लिए convince कर लिया।,0,[],[]
832,despite the untasteful previous review...,0,[],[]
833,"Sure, सबको उनका favorite मिला लेकिन Sal को जानने लिए New York को जाने।",0,[],[]
834,मुझे लगता है कि यह absolutely brilliant और अच्छी तरह से संचालित business operation है।,0,[],[]
835,Also they were $15 each!,0,[],[]
836,"मेरे friends ने महीनों तक इसके बारे में इतना ही बोला, मैंने finally come down year और dine in करने का समय बनाया।",0,[],[]
837,यदि आप अच्छा authentic Thai चाहते हैं तो यह place जाने का place नहीं है।,1,['Thai'],['negative']
838,मैंने reservation पाने की recommend की थी जबकि हमने बिना reservation के लोगों को बैठे देखा।,1,['reservation'],['neutral']
839,मैं केवल एक चीज उनका moderately enjoy किया था जो Grilled Chicken special with Edamame Puree.,1,['Grilled Chicken special with Edamame Puree'],['neutral']
840,यह उतना अच्छा है जितना neighborhood restaurants होता है।,0,[],[]
841,"यदि आप कुछ roast duck, pork या chicken on rice with ginger चाहते हैं, तो उन्हें आज़माएं!",3,"['roast duck', 'pork', 'chicken on rice with ginger']","['positive', 'positive', 'positive']"
842,"आप menu से order करती है, इसलिए आप full experience को missed की हुई feel करती है।",1,['menu'],['negative']
843,Manhattan Chinatown में U S का सबसे ज्यादा authentic Shanghainese restaurants है।,0,[],[]
844,"हम every time जब भी हम city में होंगे, back जाएंगे।",0,[],[]
845,हम pink pony पसंद करते हैं।,0,[],[]
846,इसलिए fast खाएं और खूब order करें।,0,[],[]
847,Staff बहुत मिलनसार है।,1,['Staff'],['positive']
848,मुझे previous reviewer से agree होना है।,0,[],[]
849,--Eat Club is a roving group of NYC gluttons,0,[],[]
850,"यदि आप first opened होने पर वहां थे, तो इस restaurent को second chance दें।",0,[],[]
851,मैं अपने boyfriend के साथ Friday night को reservation के लिए 8:00 बजे Del Frisco's गयी।,1,['reservation'],['neutral']
852,"अगर आपको Sakagura पसंद है,लेकिन आपको feel होता है कि यह too much है, तो आप बेहतर है कि Yokocho का उपयोग करें।",0,[],[]
853,यहाँ dinner करके स्वयं को एक favor करें और अगर आप मुझसे agree नहीं है,1,['dinner'],['neutral']
854,एक nice occasion के लिए great spot है date.,0,[],[]
855,आप इस place पर कुछ wrong नहीं कर सकते हैं।,0,[],[]
856,Izakaya का बहुत popular style (Sake-friendly dishes का छोटा portion).,3,"['Sake', 'dishes', 'portion']","['positive', 'positive', 'neutral']"
857,Hurley's एक Cheers जैसा है जहां everyone तुम्हारा नाम जानते है और वो ACTUALLY glad है कि तुम आए।,0,[],[]
858,Pretentious नहीं लेकिन बहुत economical.,0,[],[]
859,बिना overbearing के food शानदार और service क्लासी attentive है।,2,"['food', 'service']","['positive', 'positive']"
860,यह some roti rolls को आज़माने के लिए एक amazing place है।,1,['roti rolls'],['positive']
861,Fresh ingredients और सबकुछ order करने को बना है।,1,['ingredients'],['positive']
862,"हमें कभी meal या tip charge करने में कोई problem नहीं हुई है, और food जल्दी से delivered किया गया था, लेकिन हम उससे केवल few minutes walk पर ही रहते हैं।",3,"['meal', 'food', 'tip']","['positive', 'positive', 'positive']"
863,Quick and friendly service.,1,['service'],['positive']
864,Authentic bistro!,0,[],[]
865,"वे tasty हैं, लेकिन मैं केवल एक meat के साथ खाने का suggestion देता हूं, क्योंकि वे average American digestive system के साथ अच्छी तरह से mesh नहीं करते हैं।",1,['meat'],['neutral']
866,कुछ pricey लेकिन heck.,0,[],[]
867,"यह true है, यह place cheap नहीं है।",0,[],[]
868,"Hot dogs को भी try करें, वे snappy और शानदार हैं।",1,['Hot dogs'],['positive']
869,Delivery is fast too.,1,['Delivery'],['positive']
870,"Being from the South, मेरे area में कोई good delis नहीं है और PBS पर America भर में Foods देखने के दौरान मुझे Katz's Deli के बारे में पता चला।",0,[],[]
871,"The noise level was unbearable, conversation impossible.",1,['noise level'],['negative']
872,Personal pans उन hungry nights के लिए सही size है।,1,['Personal pans'],['positive']
873,Highly recommended is the Spicy Fried Clam Rolls and Spider Rolls.,2,"['Spicy Fried Clam Rolls', 'Spider Rolls']","['positive', 'positive']"
874,सबसे earlier आदमी जो restaurent पर comment कर रहा था जो menu के साथ उतना positive way में उतना experimenting नहीं दिखा।,1,['menu'],['positive']
875,It's convenient.,0,[],[]
876,एक lovely trip के लिए Bloom's का धन्यवाद।,0,[],[]
877,अगर आप laid back scene को देख रहे हैं तो atmosphere अच्छा है और weekend afternoon में खर्च होना एक expensive तरीका है।,1,['atmosphere'],['positive']
878,"Oh हाँ, मुझे कुछ probably nice कहना चाहिए था।",0,[],[]
879,"Ave B के लिए odd, न केवल odd, place electic crowd को attarct करता है।",1,['place'],['positive']
880,"जब हम Leon पर stumbled हुए, तो हमने सोचा कि हमें काफी gem मिले हैं, लेकिन हम certainly wrong थे।",0,[],[]
881,यहाँ अपना time waste करने के बजाय: RESTAURANTS को SUPPORT करो जो FOOD का ध्यान रखते हैं।,1,['FOOD'],['neutral']
882,this is can became one of the NY Italian Food fare institutions.,0,[],[]
883,बस Tamarind से  lunch करके वापस आया और यह excellent था।,1,['lunch'],['positive']
884,"अपने east में 6वें neighbors के ऊपर से head और shoulders तक, taj mahal भी food quality में बहुत comparable बहुत अधिक overpraised (और underdeserving) baluchi's है।",1,['food quality'],['positive']
885,cheesecake को आज़माएँ!,1,['cheesecake'],['positive']
886,"जैसा कि हम सब बैठकर subpar food खा रहे थे, manager ने अपने कुछ employees को मसालों के गलत containers for condiments के लिए गाली दिया और उन्हें समझाया कि ये containers कितने expensive थे।",5,"['food', 'employees', 'containers for condiments', 'containers', 'manager']","['negative', 'negative', 'negative', 'neutral', 'negative']"
887,"David, Daytona Beach, FL",0,[],[]
888,Perhaps.,0,[],[]
889,महान Indian food और service अतुलनीय है।,2,"['Indian food', 'service']","['positive', 'positive']"
890,Go here.,0,[],[]
891,"यदि आप इस area में है तो 74th street पर जो 3 blocks दूर 2nd Ave, Bagel Shoppe को आज़माना चाहिए।",0,[],[]
892,Rosario's के बिना किसी doubt के अस्तित्व में सबसे बड़ी pizzerias है।,0,[],[]
893,हमने एक tuna melt order किया - यह बिना cheese के आया जिसमें बस एक tuna sandwich बना।,3,"['tuna melt', 'cheese', 'tuna sandwich']","['negative', 'neutral', 'negative']"
894,मुख्य रूप से chicken tikka और naan और dals पसंद आया।,3,"['chicken tikka', 'naan', 'dals']","['positive', 'positive', 'positive']"
895,Waiters attentive नहीं थे बजाय उनके जिनका bill उनके खाना खत्म होने से पहले ही table पर ही turned ना हो जाए।,2,"['Waiters', 'bill']","['negative', 'negative']"
896,यहाँ restaurant Hudson नदी और Statue of Liberty के सुंदर हरे lawns में दिखायी देता है।,1,['lawns'],['positive']
897,"मेरी पत्नी और मैं हमेशा young को enjoy करते हैं, हमेशा अच्छी तरह से trained नहीं, लेकिन फिर भी friendly, staff, जिनमें से सभी जिनकी story है।",1,['staff'],['conflict']
898,हम अक्सर अच्छा restaurants पसंद करते हैं और अक्सर बाहर खाते है लेकिन Kai से expensive पाने का एक तरीका है।,0,[],[]
899,कितना great place है।,0,[],[]
900,यह छोटा Williamsburg spot हमेशा pleasantly surprise करता है।,0,[],[]
901,"जो लोग great food और great service चाहते हैं, उनके लिए Roxy एक AVOID करने का place है!",2,"['food', 'service']","['negative', 'negative']"
902,मैंने best ravioli खाया था।,1,['ravioli'],['positive']
903,"जबकि menu विशेष रूप से groundbreaking नहीं है, मैंने अब तक जो कुछ भी आज़माया है वह अच्छी तरह से executed और tasty है।",1,['menu'],['conflict']
904,अब मैं कई बार यहाँ आ चुका हूँ और service हमेशा outstanding रही है।,1,['service'],['positive']
